"ResponseId","RecordedDate","Q3.2_7_TEXT","Q3.3_4_TEXT","Q3.5_1_TEXT","Q4.1_5_TEXT","Q4.6_8_TEXT","Q4.7_9_TEXT","Q4.8_2_TEXT","Q6.1_8_TEXT","Q6.3_5_TEXT","Q6.4_5_TEXT","Q6.6_5_TEXT","Q6.7_6_TEXT"
"Response ID","Recorded Date","Which position best describes your role over the past 12 months? - Other (please specify) - Text","Which category best describes your employment or student enrolment over the past 12 months? - Other (please specify) - Text","In total, how many years have you been studying and working in the field, or a sub-field, of Human-Computer Interaction? - I don't work in the HCI field. My primary field is - Text","What time zone were you in for CHI Down Under? - Other (please specify) - Text","Because CHI 2020 was cancelled, the single conference was effectively divided into multiple 'localised' (e.g. region- or university-specific) events like CHI Down Under. How did you feel about CHI 2020 being divided into localised events? (Select all that apply) - Other (Please specify) - Text","Why not? (Select all that apply) - Other (specify) - Text","Did you attend any other 'localised' (e.g. region- or university-specific) events related to CHI 2020 other than CHI Down Under? - Yes (Please specify which events) - Text","What issues did you experience connecting with presenters or other conference attendees during CHI Down Under? (Select all that apply) - Other (Please specify) - Text","What did you do in these zoom rooms? (Select all that apply) - Other (Please specify) - Text","In general, why did you choose not to stay in the zoom rooms after the sessions? (Select all that apply) - Other (Please specify)  - Text","Who did these informal conversations or interactions take place with? (Select all that apply) - Other (Please specify) - Text","Where did these informal conversations or interactions take place? (Select all that apply) - Via other virtual spaces or messaging platforms (Please specify) - Text"
"R_232nyj01Loa0We7","2020-06-15 17:58:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1l451fbRvLsgH4F","2020-06-15 18:35:42","Industry terminology promoter","No time!!!","Joking around","Mars","I hate Hawaii what a dumb place",NA,"CrocFest in darwin","Peoples backgrounds were making me MAD","Put my face on the screen and watched tiktok",NA,"My cat",NA
"R_1IA7bmRwRIKvUJn","2020-06-15 18:36:11",NA,NA,NA,NA,NA,NA,NA,"Loss of physical dimensions (no place to meet people 1:1, small talk)",NA,NA,NA,NA
"R_1N4WN7daCu5trOV","2020-06-16 22:50:19",NA,NA,"Machine learning",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_pc47AyRDrdI4ech","2020-06-16 22:56:57",NA,NA,NA,NA,NA,NA,"EduCHI if applicable",NA,NA,NA,NA,NA
"R_9KSicW9f06YgexX","2020-06-16 22:57:03",NA,NA,NA,"IST (India)",NA,NA,NA,NA,NA,NA,NA,NA
"R_2rPI6R3bLKMT0dQ","2020-06-16 23:00:23",NA,NA,NA,"Pakistan",NA,NA,NA,NA,NA,NA,NA,NA
"R_2c5hZe23LTnkVeu","2020-06-16 23:02:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_25tGFDNa9iYpXub","2020-06-16 23:06:49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3qEi4pxOyVmGlT4","2020-06-16 23:08:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3OjHJIlB7eUYEHp","2020-06-16 23:09:49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2s1EMgdwpQbLJIN","2020-06-16 23:10:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_d4iwNdNKSzI707n","2020-06-16 23:19:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1isxJ2zygGCNJ4g","2020-06-16 23:19:14",NA,NA,NA,NA,NA,NA,NA,"I and another attendee got booted once from the poster room",NA,NA,NA,NA
"R_2WJ3hSC8uQXA7MN","2020-06-16 23:55:27",NA,NA,NA,"CEST",NA,NA,"Dutch Chi",NA,NA,NA,NA,NA
"R_3MRqAylqjGh8ZDy","2020-06-17 00:14:11",NA,NA,NA,"isn't MEL AEDT? I am in Brisbane AEST",NA,"I feel it important to keep a low carbon footprint and funding isn't available for co-authors beyond the presenter",NA,"none",NA,NA,NA,NA
"R_z1iw4yu7oW4ZLWh","2020-06-17 00:19:03",NA,NA,NA,"UTC+8 Beijing",NA,NA,"CHI Dartmouth",NA,NA,NA,NA,NA
"R_3nirIdgvmtq2FPs","2020-06-17 00:34:19",NA,"Contract",NA,NA,NA,NA,NA,"I did not attend at all...to busy",NA,"I don't like online conferences!",NA,NA
"R_3PTsDvkAFXrTJP3","2020-06-17 00:41:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
